SampleID,Species,Museum,Prep/Tissue Number,Museum.Number,State,Latitude,Longitude
S.sasin11,Selasphorus sasin sedentarius,MVZ,,183552,CA,33.996057,-119.72513
S.sasin2,Selasphorus sasin sedentarius,MVZ,,183554,CA,33.996057,-119.72513
S.sasin3,Selasphorus sasin sasin,MVZ,,180487,CA,37.971819,-122.0123042
S.sasin4,Selasphorus sasin sasin,MVZ,,182025,CA,37.68127,-121.755962
S.sasin5,Selasphorus sasin sedentarius,MVZ,,183549,CA,33.996057,-119.72513
S.sasin6,Selasphorus sasin sedentarius,MVZ,,183551,CA,33.996057,-119.72513
S.sasin7,Selasphorus sasin sasin,MVZ,,183714,CA,37.889606,-122.318817
S.sasin8,Selasphorus sasin sedentarius,MVZ,,183550,CA,33.996057,-119.72513
S.sasin9,Selasphorus sasin sasin,MVZ,,183713,CA,37.889606,-122.318817
TX1,Selasphorus rufus,LSU,,B-91622,TX,31.5499497,-100.3272112
TX2,Selasphorus rufus,LSU,,B-91623,TX,31.5499497,-100.3272112
UT1,Selasphorus rufus,UWBM,JK09 597,114234,UT,36.6775,-113.0611
UT2,Selasphorus rufus,UWBM,JK04 576,111649,UT,37.6775,-113.061167
UT3,Selasphorus rufus,UWBM,JK00 304,99309,UT,37.842,-112.828
WA12,Selasphorus rufus,UWBM,,62641,WA,48.8,-121.92
WA21,Selasphorus rufus,UWBM,,57305,WA,48.9075872,-121.6599266
WA26,Selasphorus rufus,UWBM,,57307,WA,48.9075872,-121.6599266
WA27,Selasphorus rufus,UWBM,,84224,WA,47.6428744,-122.5423578
WA28,Selasphorus rufus,UWBM,,99531,WA,48.7008,-122.4429
WA29,Selasphorus rufus,UWBM,,99530,WA,47.69031,-122.565345
WA35,Selasphorus rufus,UWBM,,54064,WA,48.37,-117.19
WA36,Selasphorus rufus,UWBM,,54058,WA,48.34,-117.14
WA40,Selasphorus rufus,UWBM,,118223,WA,48.42,-120.5033
WA43,Selasphorus rufus,UWBM,,72972,WA,46.6861252,-121.5236018
WA44,Selasphorus rufus,UWBM,,72973,WA,46.6861252,-121.5236018
WA45,Selasphorus rufus,UWBM,,119827,WA,48.42529,-122.288462
WA46,Selasphorus rufus,UWBM,,119658,WA,47.447,-122.4598
WA49,Selasphorus rufus,UWBM,,120045,WA,48.741088,-122.474336
WA62,Selasphorus rufus,UWBM,CJB092,pending,WA,48.34,-117.14
